image_id,permutation_ms,kv_repack_ms,ssd_write_ms,fsync_ms,total_persist_ms,bytes_written
n130638,0.6473329849541187,41.25861113425344,423.20512258447707,280.0791950430721,922.381988959387,1248404351
n141939,0.6429019849747419,42.19553293660283,471.3576753856614,285.3333689272404,1001.8959520384669,1260987915
n181355,0.6249489961192012,37.78598317876458,419.98603474348783,272.56088401190937,895.7426198758185,1248404351
n204894,0.5982340080663562,39.04656518716365,437.13162548374385,260.81183610949665,925.0511301215738,1160319051
n229548,0.6734071066603065,47.11350321304053,451.74579275771976,357.76960488874465,1098.9727098494768,1361656773
n282436,0.6508639780804515,40.50493612885475,412.0110096409917,318.8407850684598,945.3547911252826,1248404354
n28572,0.5909880856052041,40.24113668128848,468.85965089313686,351.9157220143825,1060.0461529102176,1160319047
n28792,0.6080410676077008,42.95236640609801,545.205838046968,280.79344308935106,1114.8426309227943,1143541055
n528403,0.4583429545164108,22.48517598491162,265.24768548551947,238.02099493332207,631.5569899743423,795394455
n95369,0.5982069997116923,39.846450788900256,429.70758315641433,261.9960979791358,919.338314095512,1160319036
