analysis_role,layout,arm,main_table,sanity_only,source_run,source_method_key,dataset,method_key,method,retention,retention_kind,image_id,question_id,question,prediction,ground_truth,correct,first_token_id,generated_tokens,physical_layout,calibration_questions,retrieval,selector_ms,ssd_read_ms,scatter_ms,prepare_ms,prefill_ms,ttft_ms,decode_ms,e2e_latency_ms,ssd_read_bytes,ssd_read_chunks,ssd_preads,chunk_io_ms,hook_ms,n_chunks_selected,n_chunks_total,touched_chunk_fraction,logical_kv_ratio,logical_kv_ratio_per_layer,fallback_rate,normal_chunk_count_total,normal_kv_read_bytes,separator_read_bytes,normal_kv_preads,separator_preads,total_actual_pread_bytes,mean_bytes_per_pread,normal_mean_bytes_per_pread,separator_mean_bytes_per_pread,static_score_calls,query_score_calls,diversity_calls,selection_mode,selected_chunk_ids_per_layer,separator_policy,reordered_prefix_store_validated,validated_prefix_layout,n_raters
raster_fullload,Raster,FullLoad,True,False,raster,fullload,gqa,fullload,FullLoad,1.0,full,n355567,201751701,Is the clock to the right of the lady near the tennis ball?,Yes,"[""yes""]",1.0,3869,2,raster,0,fullload,,436.05155078694224,,,985.4586899746209,993.8450250774622,24.313558940775692,1018.1585840182379,1124073472,2176,64,,647.7455208078027,,,1.0,1.0,null,0.0,,1124073472,0,64,0,1124073472,17563648.0,17563648.0,0.0,,,,,null,,,,0
raster_fullload,Raster,FullLoad,True,False,raster,fullload,gqa,fullload,FullLoad,1.0,full,n355567,201751740,Does the person to the left of the lady look happy and modern?,Yes,"[""yes""]",1.0,3869,2,raster,0,fullload,,392.6034508040175,,,628.7651179591194,633.4763509221375,19.093747017905116,652.5700979400426,1124073472,2176,64,,581.0043752426282,,,1.0,1.0,null,0.0,,1124073472,0,64,0,1124073472,17563648.0,17563648.0,0.0,,,,,null,,,,0
raster_fullload,Raster,FullLoad,True,False,raster,fullload,gqa,fullload,FullLoad,1.0,full,n355567,201751873,How large is the wire net?,Large,"[""small""]",0.0,8218,3,raster,0,fullload,,460.59406956192106,,,705.3480229806155,709.9368469789624,40.99918599240482,750.9360329713672,1124073472,2176,64,,655.5584784364328,,,1.0,1.0,null,0.0,,1124073472,0,64,0,1124073472,17563648.0,17563648.0,0.0,,,,,null,,,,0
raster_fullload,Raster,FullLoad,True,False,raster,fullload,gqa,fullload,FullLoad,1.0,full,n355567,201751760,What is the color of the lady that is about to hit the tennis ball?,White,"[""blond""]",0.0,8037,2,raster,0,fullload,,435.1581410737708,,,710.8605479588732,715.4710249742493,19.175317022018135,734.6463419962674,1124073472,2176,64,,653.2510967226699,,,1.0,1.0,null,0.0,,1124073472,0,64,0,1124073472,17563648.0,17563648.0,0.0,,,,,null,,,,0
raster_fullload,Raster,FullLoad,True,False,raster,fullload,gqa,fullload,FullLoad,1.0,full,n355567,201751862,Is the tennis net rectangular and small?,No,"[""yes""]",0.0,1939,2,raster,0,fullload,,428.47975238692015,,,697.1376499859616,701.9137579482049,18.93754897173494,720.8513069199398,1124073472,2176,64,,638.7352931778878,,,1.0,1.0,null,0.0,,1124073472,0,64,0,1124073472,17563648.0,17563648.0,0.0,,,,,null,,,,0
raster_fullload,Raster,FullLoad,True,False,raster,fullload,gqa,fullload,FullLoad,1.0,full,n355567,201751594,What is the lady that is not antique playing with?,Racket,"[""tennis ball""]",0.0,390,4,raster,0,fullload,,429.2919470462948,,,690.0655679637566,694.7080820100382,54.95164799503982,749.659730005078,1124073472,2176,64,,634.0027425903827,,,1.0,1.0,null,0.0,,1124073472,0,64,0,1124073472,17563648.0,17563648.0,0.0,,,,,null,,,,0
raster_fullload,Raster,FullLoad,True,False,raster,fullload,gqa,fullload,FullLoad,1.0,full,n9181,20929611,Is the brown cowboy hat below the small sign?,Yes,"[""yes""]",1.0,3869,2,raster,0,fullload,,578.6976397503167,,,927.4823089363053,932.5283060315996,23.63316703122109,956.1614730628207,1233125376,2368,64,,880.5785708827898,,,1.0,1.0,null,0.0,,1233125376,0,64,0,1233125376,19267584.0,19267584.0,0.0,,,,,null,,,,0
raster_fullload,Raster,FullLoad,True,False,raster,fullload,gqa,fullload,FullLoad,1.0,full,n9181,20929389,Is the motorcycle near the jacket black and metallic?,No,"[""no""]",1.0,1939,2,raster,0,fullload,,540.9259521402419,,,923.0067430762574,927.8915850445628,18.672534031793475,946.5641190763563,1233125376,2368,64,,868.9218962099403,,,1.0,1.0,null,0.0,,1233125376,0,64,0,1233125376,19267584.0,19267584.0,0.0,,,,,null,,,,0
raster_fullload,Raster,FullLoad,True,False,raster,fullload,gqa,fullload,FullLoad,1.0,full,n9181,20929384,Is the motorcycle on the right part?,No,"[""no""]",1.0,1939,2,raster,0,fullload,,435.8429965795949,,,747.3764780443162,752.2500670747831,18.726796959526837,770.97686403431,1233125376,2368,64,,703.9934737840667,,,1.0,1.0,null,0.0,,1233125376,0,64,0,1233125376,19267584.0,19267584.0,0.0,,,,,null,,,,0
raster_fullload,Raster,FullLoad,True,False,raster,fullload,gqa,fullload,FullLoad,1.0,full,n9181,20929555,What's the wheelchair in front of?,Building,"[""vest""]",0.0,17166,2,raster,0,fullload,,539.6704940358177,,,891.8983190087602,896.7428440228105,18.913988023996353,915.6568320468068,1233125376,2368,64,,841.4501248626038,,,1.0,1.0,null,0.0,,1233125376,0,64,0,1233125376,19267584.0,19267584.0,0.0,,,,,null,,,,0
raster_fullload,Raster,FullLoad,True,False,raster,fullload,gqa,fullload,FullLoad,1.0,full,n9181,20929553,What is in front of the vest?,Motorcycle,"[""wheelchair""]",0.0,16843,3,raster,0,fullload,,484.1184417018667,,,814.6291149314493,819.4944389397278,36.938656005077064,856.4330949448049,1233125376,2368,64,,769.1169099416584,,,1.0,1.0,null,0.0,,1233125376,0,64,0,1233125376,19267584.0,19267584.0,0.0,,,,,null,,,,0
raster_fullload,Raster,FullLoad,True,False,raster,fullload,gqa,fullload,FullLoad,1.0,full,n9181,20929280,Is the motorbike made of the same material as the sign?,No,"[""yes""]",0.0,1939,2,raster,0,fullload,,511.8878431385383,,,877.4755659978837,882.3919650167227,23.859880049712956,906.2518450664356,1233125376,2368,64,,822.1639791736379,,,1.0,1.0,null,0.0,,1233125376,0,64,0,1233125376,19267584.0,19267584.0,0.0,,,,,null,,,,0
raster_fullload,Raster,FullLoad,True,False,raster,fullload,gqa,fullload,FullLoad,1.0,full,n390187,201861403,What's the person riding?,Motorcycle,"[""motorcycle""]",1.0,16843,3,raster,0,fullload,,455.2197133889422,,,790.0521249976009,795.0124010676518,36.853982019238174,831.86638308689,1182793728,2304,64,,745.5758320866153,,,1.0,1.0,null,0.0,,1182793728,0,64,0,1182793728,18481152.0,18481152.0,0.0,,,,,null,,,,0
raster_fullload,Raster,FullLoad,True,False,raster,fullload,gqa,fullload,FullLoad,1.0,full,n390187,201861402,The person is riding what?,Motorcycle,"[""motorcycle""]",1.0,16843,3,raster,0,fullload,,416.9323818059638,,,749.5034099556506,754.30043193046,37.50549303367734,791.8059249641374,1182793728,2304,64,,703.9004303514957,,,1.0,1.0,null,0.0,,1182793728,0,64,0,1182793728,18481152.0,18481152.0,0.0,,,,,null,,,,0
raster_fullload,Raster,FullLoad,True,False,raster,fullload,gqa,fullload,FullLoad,1.0,full,n390187,201861409,Is the person wearing a glove?,No,"[""yes""]",0.0,1939,2,raster,0,fullload,,484.4828505301848,,,839.907577028498,844.6562519529834,19.235139014199376,863.8913909671828,1182793728,2304,64,,787.2180187841877,,,1.0,1.0,null,0.0,,1182793728,0,64,0,1182793728,18481152.0,18481152.0,0.0,,,,,null,,,,0
raster_fullload,Raster,FullLoad,True,False,raster,fullload,gqa,fullload,FullLoad,1.0,full,n390187,201861267,Does the mirror to the left of the person look brown and small?,No,"[""no""]",1.0,1939,2,raster,0,fullload,,454.0637369500473,,,771.5008410159498,776.2527610175312,19.46385798510164,795.7166190026328,1182793728,2304,64,,718.5647670412436,,,1.0,1.0,null,0.0,,1182793728,0,64,0,1182793728,18481152.0,18481152.0,0.0,,,,,null,,,,0
raster_fullload,Raster,FullLoad,True,False,raster,fullload,gqa,fullload,FullLoad,1.0,full,n390187,201861586,What is the color of the dirty sneakers?,Gray,"[""gray""]",1.0,18956,2,raster,0,fullload,,457.7851730864495,,,727.0328510785475,732.0224629947916,18.969657947309315,750.9921209421009,1182793728,2304,64,,670.1898477040231,,,1.0,1.0,null,0.0,,1182793728,0,64,0,1182793728,18481152.0,18481152.0,0.0,,,,,null,,,,0
raster_fullload,Raster,FullLoad,True,False,raster,fullload,gqa,fullload,FullLoad,1.0,full,n390187,201861325,Is the small mirror on the motorcycle?,Yes,"[""yes""]",1.0,3869,2,raster,0,fullload,,455.33012913074344,,,783.9489050675184,788.787355995737,19.56866099499166,808.3560169907287,1182793728,2304,64,,736.6255390224978,,,1.0,1.0,null,0.0,,1182793728,0,64,0,1182793728,18481152.0,18481152.0,0.0,,,,,null,,,,0
raster_fullload,Raster,FullLoad,True,False,raster,fullload,gqa,fullload,FullLoad,1.0,full,n133585,202108008,What is the color of the hat?,Blue,"[""blue""]",1.0,10924,2,raster,0,fullload,,451.36822282802314,,,742.6542619941756,747.4304089555517,23.938187048770487,771.3685960043222,1124073472,2176,64,,679.1551269125193,,,1.0,1.0,null,0.0,,1124073472,0,64,0,1124073472,17563648.0,17563648.0,0.0,,,,,null,,,,0
raster_fullload,Raster,FullLoad,True,False,raster,fullload,gqa,fullload,FullLoad,1.0,full,n133585,202107840,Are there any boys to the right of the fat person?,Yes,"[""yes""]",1.0,3869,2,raster,0,fullload,,376.94774626288563,,,619.6987540461123,624.3790050502867,19.728204933926463,644.1072099842131,1124073472,2176,64,,574.7153190895915,,,1.0,1.0,null,0.0,,1124073472,0,64,0,1124073472,17563648.0,17563648.0,0.0,,,,,null,,,,0
raster_fullload,Raster,FullLoad,True,False,raster,fullload,gqa,fullload,FullLoad,1.0,full,n133585,202107827,Who wears a shirt?,Boy,"[""boy""]",1.0,16231,2,raster,0,fullload,,415.09004833642393,,,671.7154419748113,676.3658019481227,19.143279059790075,695.5090810079128,1124073472,2176,64,,617.3489617649466,,,1.0,1.0,null,0.0,,1124073472,0,64,0,1124073472,17563648.0,17563648.0,0.0,,,,,null,,,,0
raster_fullload,Raster,FullLoad,True,False,raster,fullload,gqa,fullload,FullLoad,1.0,full,n133585,202107931,Is the person to the left of the boy wearing jeans?,No,"[""no""]",1.0,1939,2,raster,0,fullload,,387.96897942665964,,,624.2954620392993,628.9173980476335,19.388910965062678,648.3063090126961,1124073472,2176,64,,578.306628856808,,,1.0,1.0,null,0.0,,1124073472,0,64,0,1124073472,17563648.0,17563648.0,0.0,,,,,null,,,,0
raster_fullload,Raster,FullLoad,True,False,raster,fullload,gqa,fullload,FullLoad,1.0,full,n133585,202107938,Is the fat person to the right or to the left of the boy that is wearing pants?,Right,"[""left""]",0.0,10428,2,raster,0,fullload,,432.24897782783955,,,709.9582699593157,714.6397120086476,49.07624609768391,763.7159581063315,1124073472,2176,64,,646.8391290400177,,,1.0,1.0,null,0.0,,1124073472,0,64,0,1124073472,17563648.0,17563648.0,0.0,,,,,null,,,,0
raster_fullload,Raster,FullLoad,True,False,raster,fullload,gqa,fullload,FullLoad,1.0,full,n133585,202107808,Who is standing?,Boy,"[""boy""]",1.0,16231,2,raster,0,fullload,,419.3707308731973,,,668.1679680477828,672.8901020251215,19.067854969762266,691.9579569948837,1124073472,2176,64,,617.278755409643,,,1.0,1.0,null,0.0,,1124073472,0,64,0,1124073472,17563648.0,17563648.0,0.0,,,,,null,,,,0
raster_fullload,Raster,FullLoad,True,False,raster,fullload,gqa,fullload,FullLoad,1.0,full,n272098,201535625,How is that food called?,Donut,"[""donuts""]",0.0,3872,3,raster,0,fullload,,549.0133597049862,,,960.4219939792529,966.1036689067259,37.92452404741198,1004.0281929541379,1535115264,2944,64,,885.2147937286645,,,1.0,1.0,null,0.0,,1535115264,0,64,0,1535115264,23986176.0,23986176.0,0.0,,,,,null,,,,0
raster_fullload,Raster,FullLoad,True,False,raster,fullload,gqa,fullload,FullLoad,1.0,full,n272098,201535624,What kind of baked good is it?,Donut,"[""donuts""]",0.0,3872,3,raster,0,fullload,,498.3963337726891,,,815.8498379634693,821.3568240171298,37.87854907568544,859.2353730928153,1535115264,2944,64,,769.0140760969371,,,1.0,1.0,null,0.0,,1535115264,0,64,0,1535115264,23986176.0,23986176.0,0.0,,,,,null,,,,0
raster_fullload,Raster,FullLoad,True,False,raster,fullload,gqa,fullload,FullLoad,1.0,full,n272098,201535627,How is the glazed food called?,Donut,"[""donuts""]",0.0,3872,3,raster,0,fullload,,536.5249272435904,,,869.9578030500561,875.463797012344,41.84527590405196,917.309072916396,1535115264,2944,64,,821.2728501530364,,,1.0,1.0,null,0.0,,1535115264,0,64,0,1535115264,23986176.0,23986176.0,0.0,,,,,null,,,,0
