image_id,permutation_ms,kv_repack_ms,ssd_write_ms,fsync_ms,total_persist_ms,bytes_written
n100552,0.6634439341723919,41.34221444837749,462.9472764208913,285.8634199947119,980.1986999809742,1300836004
n100991,0.6682241801172495,38.257011445239186,414.43783324211836,499.0493790246546,1119.9555967468768,1248404354
n111390,0.5994611419737339,36.808595759794116,380.44428639113903,271.5135479811579,846.4894648641348,1160319053
n115614,0.6092148832976818,36.003438057377934,490.0730662047863,414.1806699335575,1151.7874237615615,1143541051
n116329,0.5983130540698767,34.19345710426569,391.9146459084004,277.65125106088817,869.3601028062403,1143541054
n117888,0.6595749873667955,48.30067255534232,424.10354199819267,431.3680878840387,1191.873881034553,1311322351
n118102,0.6183520890772343,24.71875655464828,374.0772169549018,265.35711088217795,819.0488177351654,1143541053
n119886,0.5926990415900946,44.019069988280535,544.3983296863735,153.0655948445201,997.6434009149671,1160319051
n119944,0.5831432063132524,32.957980409264565,440.87696773931384,283.9989468920976,947.8509509935975,1143541050
n12214,0.5839250516146421,33.02141185849905,419.31854700669646,298.9216549322009,921.5905342716724,1143541050
n123075,0.4125668201595545,23.56510958634317,400.9061825927347,212.532744044438,809.0563390869647,776519246
n12404,0.6132740527391434,30.312648508697748,382.1292540524155,304.3903447687626,866.6783592198044,1143541047
n124651,0.5877579096704721,25.61233239248395,367.3896745312959,308.2941009197384,851.9457040820271,1143541054
n125122,0.6427948828786612,46.4556198567152,419.53862458467484,278.7304900120944,1029.8759371507913,1248404351
n126087,0.5875979550182819,38.083253894001245,466.4992222096771,272.3378187511116,974.6733061037958,1143541054
n126891,0.49186102114617825,32.71054360084236,470.81277309916914,236.07476614415646,938.3924007415771,908646981
n127705,0.778143061324954,53.84076130576432,548.893115716055,1563.7403831351548,2389.8373409174383,1562994510
n130464,0.6156791932880878,33.7802404537797,417.9335250519216,275.3720209002495,893.1704841088504,1248404357
n130638,0.6583830108866096,38.34136272780597,424.03513460885733,262.01555191073567,905.9019100386649,1248404355
n131634,0.6424509920179844,42.70851449109614,457.2475159075111,308.12646681442857,1007.8886370174587,1248404357
n133585,0.6016839761286974,45.07187497802079,539.1705071087927,280.37162916734815,1113.1431229878217,1143541052
