dialog_id,image_id,turn_id,question_id,method_key,prediction,score,end_to_end_ttft_ms,request_e2e_ms,decode_ms,ssd_read_bytes,ssd_read_ms,normal_kv_preads,separator_preads,scatter_ms,first_k_planning_ms,selected_ratio,vision_forward_count,cache_hit
mtgqa_000001,n229548,1,20511412,recompute,Helicopter,1.0,610.1879270281643,666.0272449953482,55.74471491854638,0,0.0,0,0,0.0,0.0,,1,False
mtgqa_000001,n229548,1,20511412,fullload,Helicopter,1.0,607.2994340211153,662.2811059933156,54.90337696392089,0,0.0,0,0,0.0,0.0,,1,False
mtgqa_000001,n229548,1,20511412,prefix25,Helicopter,1.0,606.3796910457313,662.9684059880674,56.50419997982681,0,0.0,0,0,0.0,0.0,,1,False
mtgqa_000001,n229548,1,20511412,prefix45,Helicopter,1.0,606.8846449488774,662.877946975641,55.91394507791847,0,0.0,0,0,0.0,0.0,,1,False
mtgqa_000001,n229548,2,20511415,recompute,helicopter,1.0,619.6808390086517,676.581677980721,56.81485997047275,0,0.0,0,0,0.0,0.0,,1,False
mtgqa_000001,n229548,2,20511415,fullload,helicopter,1.0,856.1189359752461,914.2883889144287,58.049704995937645,1333788672,532.6953168259934,64,0,0.0,0.0,1.0,0,True
mtgqa_000001,n229548,2,20511415,prefix25,Helicopter,1.0,281.93180600646883,345.55770200677216,61.01833691354841,360710144,148.97150080651045,64,1,53.152465843595564,0.23424311075359583,0.25,0,True
mtgqa_000001,n229548,2,20511415,prefix45,Helicopter,1.0,487.43707104586065,547.5356520619243,57.64105194248259,629145600,268.27188418246806,64,1,93.65783829707652,0.40170084685087204,0.45,0,True
mtgqa_000001,n229548,3,20511418,recompute,Top,1.0,622.7491740137339,642.76225597132,19.906919915229082,0,0.0,0,0,0.0,0.0,,1,False
mtgqa_000001,n229548,3,20511418,fullload,Top,1.0,924.9948540236801,944.6892739506438,19.558103987947106,1333788672,617.9828287567943,64,0,0.0,0.0,1.0,0,True
mtgqa_000001,n229548,3,20511418,prefix25,Top,1.0,324.0313669666648,345.39470390882343,19.360965001396835,360710144,178.38565004058182,64,1,53.34652110468596,0.23696513380855322,0.25,0,True
mtgqa_000001,n229548,3,20511418,prefix45,Top,1.0,561.2930899951607,581.244137021713,19.77937703486532,629145600,324.6864542597905,64,1,95.82943946588784,0.40639564394950867,0.45,0,True
mtgqa_000002,n229548,1,20511438,recompute,Heavy,1.0,617.572353919968,654.6079599065706,36.95412399247289,0,0.0,0,0,0.0,0.0,,1,False
mtgqa_000002,n229548,1,20511438,fullload,Heavy,1.0,628.011757042259,665.7309340080246,37.63786097988486,0,0.0,0,0,0.0,0.0,,1,False
mtgqa_000002,n229548,1,20511438,prefix25,Heavy,1.0,616.5456000017002,654.4278470100835,37.79895801562816,0,0.0,0,0,0.0,0.0,,1,False
mtgqa_000002,n229548,1,20511438,prefix45,Heavy,1.0,616.6436750208959,654.5356060378253,37.80936391558498,0,0.0,0,0,0.0,0.0,,1,False
mtgqa_000002,n229548,2,20511439,recompute,Helicopter,1.0,618.848921963945,673.9385060500354,55.002210079692304,0,0.0,0,0,0.0,0.0,,1,False
mtgqa_000002,n229548,2,20511439,fullload,Helicopter,1.0,954.286830034107,1012.2532170498744,57.8550259815529,1333788672,666.4137941552326,64,0,0.0,0.0,1.0,0,True
mtgqa_000002,n229548,2,20511439,prefix25,Helicopter,1.0,370.4787159804255,427.2819529287517,56.637511937879026,360710144,207.54459593445063,64,1,62.04456987325102,0.3259469522163272,0.25,0,True
mtgqa_000002,n229548,2,20511439,prefix45,Helicopter,1.0,555.8744450099766,613.0932309897617,57.02605098485947,629145600,330.03665192518383,64,1,95.93491617124528,0.39884878788143396,0.45,0,True
mtgqa_000002,n229548,3,20511454,recompute,Yes,1.0,599.4518819497898,619.4345799740404,19.869075040332973,0,0.0,0,0,0.0,0.0,,1,False
mtgqa_000002,n229548,3,20511454,fullload,Yes,1.0,903.7090799538419,923.6339500639588,19.792532082647085,1333788672,606.7184088751674,64,0,0.0,0.0,1.0,0,True
mtgqa_000002,n229548,3,20511454,prefix25,Yes,1.0,363.77352103590965,382.91696505621076,18.98029202129692,360710144,213.2388377794996,64,1,61.65806867647916,0.30091172084212303,0.25,0,True
mtgqa_000002,n229548,3,20511454,prefix45,Yes,1.0,562.0404520304874,585.2400830481201,23.030392010696232,629145600,322.5086295278743,64,1,95.90389591176063,0.40223461110144854,0.45,0,True
mtgqa_000003,n229548,1,20511455,recompute,Helicopter,1.0,583.2882530521601,639.4567469833419,56.08371191192418,0,0.0,0,0,0.0,0.0,,1,False
mtgqa_000003,n229548,1,20511455,fullload,Helicopter,1.0,582.7804160071537,637.9281870322302,55.07187102921307,0,0.0,0,0,0.0,0.0,,1,False
mtgqa_000003,n229548,1,20511455,prefix25,Helicopter,1.0,583.257841062732,638.987333048135,55.64410402439535,0,0.0,0,0,0.0,0.0,,1,False
mtgqa_000003,n229548,1,20511455,prefix45,Helicopter,1.0,583.5591219365597,639.1277239890769,55.485790013335645,0,0.0,0,0,0.0,0.0,,1,False
mtgqa_000003,n229548,2,20511456,recompute,Helicopter,1.0,622.5241080392152,677.9853629413992,55.37524295505136,0,0.0,0,0,0.0,0.0,,1,False
mtgqa_000003,n229548,2,20511456,fullload,Helicopter,1.0,821.1475389543921,878.5964950220659,57.30827501975,1333788672,517.4408033490181,64,0,0.0,0.0,1.0,0,True
mtgqa_000003,n229548,2,20511456,prefix25,Helicopter,1.0,317.48283200431615,379.3625859543681,58.88840300031006,360710144,189.37468656804413,64,1,49.790382967330515,0.23431400768458843,0.25,0,True
mtgqa_000003,n229548,2,20511456,prefix45,Helicopter,1.0,541.9205130310729,598.4713319921866,56.385451927781105,629145600,319.78579808492213,64,1,94.16263992898166,0.39462686982005835,0.45,0,True
mtgqa_000003,n229548,3,20511450,recompute,helicopter,1.0,627.5151059962809,682.8246689401567,55.22566696163267,0,0.0,0,0,0.0,0.0,,1,False
mtgqa_000003,n229548,3,20511450,fullload,helicopter,1.0,851.5923189697787,909.7591050667688,58.0562730319798,1333788672,571.9019316602498,64,0,0.0,0.0,1.0,0,True
mtgqa_000003,n229548,3,20511450,prefix25,Helicopter,1.0,352.80918003991246,411.5232010371983,58.53539996314794,360710144,204.97669093310833,64,1,57.157085626386106,0.26246276684105396,0.25,0,True
mtgqa_000003,n229548,3,20511450,prefix45,Helicopter,1.0,550.1738500315696,607.2856660466641,56.944743962958455,629145600,321.3740828214213,64,1,95.03999014850706,0.40378980338573456,0.45,0,True
mtgqa_000004,n229548,1,20511453,recompute,Rope,0.0,616.9261250179261,654.667541035451,37.66566899139434,0,0.0,0,0,0.0,0.0,,1,False
mtgqa_000004,n229548,1,20511453,fullload,Rope,0.0,616.700976039283,654.6970769995824,37.91206702589989,0,0.0,0,0,0.0,0.0,,1,False
mtgqa_000004,n229548,1,20511453,prefix25,Rope,0.0,617.096634930931,655.2775539457798,38.098296034149826,0,0.0,0,0,0.0,0.0,,1,False
mtgqa_000004,n229548,1,20511453,prefix45,Rope,0.0,617.6711609587073,656.2938370043412,38.54093502741307,0,0.0,0,0,0.0,0.0,,1,False
mtgqa_000004,n229548,2,20511394,recompute,Cloudy,1.0,619.9800811009482,657.6955060008913,37.63166395947337,0,0.0,0,0,0.0,0.0,,1,False
mtgqa_000004,n229548,2,20511394,fullload,Cloudy,1.0,887.8684580558911,926.9323800690472,38.952574017457664,1333788672,576.6138309845701,64,0,0.0,0.0,1.0,0,True
mtgqa_000004,n229548,2,20511394,prefix25,Cloudy,1.0,341.4264899911359,383.0478449817747,37.481679930351675,360710144,186.10889185220003,64,1,61.746356543153524,0.30670000705868006,0.25,0,True
mtgqa_000004,n229548,2,20511394,prefix45,Cloudy,1.0,507.27808894589543,546.1325809592381,38.6912029935047,629145600,287.7782474970445,64,1,89.8259577807039,0.385420979000628,0.45,0,True
mtgqa_000004,n229548,3,20511525,recompute,Yes,1.0,622.1814819145948,641.8769749579951,19.60425707511604,0,0.0,0,0,0.0,0.0,,1,False
mtgqa_000004,n229548,3,20511525,fullload,Yes,1.0,833.9699269272387,853.882816969417,19.768713042140007,1333788672,554.5331459725276,64,0,0.0,0.0,1.0,0,True
mtgqa_000004,n229548,3,20511525,prefix25,Yes,1.0,342.82527200412005,362.21499799285084,19.217238994315267,360710144,182.39725125022233,64,1,61.58158858306706,0.3107611555606127,0.25,0,True
mtgqa_000004,n229548,3,20511525,prefix45,Yes,1.0,517.4184519564733,542.1757069416344,19.855051999911666,629145600,305.96969940233976,64,1,94.01273855473846,0.40911068208515644,0.45,0,True
mtgqa_000005,n229548,1,20511521,recompute,Yellow,0.0,618.5739709762856,656.5789229935035,37.915333989076316,0,0.0,0,0,0.0,0.0,,1,False
mtgqa_000005,n229548,1,20511521,fullload,Yellow,0.0,618.7221569707617,656.0625809943303,37.25476702675223,0,0.0,0,0,0.0,0.0,,1,False
mtgqa_000005,n229548,1,20511521,prefix25,Yellow,0.0,618.8340729568154,656.5818549133837,37.66743105370551,0,0.0,0,0,0.0,0.0,,1,False
mtgqa_000005,n229548,1,20511521,prefix45,Yellow,0.0,618.5410240432248,656.7067120922729,38.06514700409025,0,0.0,0,0,0.0,0.0,,1,False
mtgqa_000005,n229548,2,20511504,recompute,Metal,1.0,610.8452810440212,629.8149620415643,18.890821957029402,0,0.0,0,0,0.0,0.0,,1,False
mtgqa_000005,n229548,2,20511504,fullload,Metal,1.0,823.7262580078095,843.7764799455181,19.91971198003739,1333788672,529.4954008422792,64,0,0.0,0.0,1.0,0,True
mtgqa_000005,n229548,2,20511504,prefix25,Wood,0.0,333.3069960353896,352.9114540433511,19.429920008406043,360710144,179.077789071016,64,1,53.16836049314588,0.25158573407679796,0.25,0,True
mtgqa_000005,n229548,2,20511504,prefix45,Metal,1.0,497.5720460060984,517.2491669654846,19.50242999009788,629145600,292.65341616701335,64,1,84.87636875361204,0.35508652217686176,0.45,0,True
mtgqa_000005,n229548,3,20511406,recompute,Helicopter,1.0,632.8150680055842,688.9705400681123,56.0738320928067,0,0.0,0,0,0.0,0.0,,1,False
mtgqa_000005,n229548,3,20511406,fullload,Helicopter,1.0,864.4857869949192,921.4514759369195,56.85342999640852,1333788672,572.9497420834377,64,0,0.0,0.0,1.0,0,True
mtgqa_000005,n229548,3,20511406,prefix25,Helicopter,1.0,331.2532400013879,387.66904606018215,56.24889803584665,360710144,180.14983856119215,64,1,58.46544750966132,0.29108324088156223,0.25,0,True
mtgqa_000005,n229548,3,20511406,prefix45,Helicopter,1.0,536.7053810041398,594.3866700399667,57.514204061590135,629145600,308.21559217292815,64,1,98.00212015397847,0.4248331533744931,0.45,0,True
mtgqa_000006,n229548,1,20511543,recompute,Yes,1.0,584.9167519481853,605.0233279820532,20.016666036099195,0,0.0,0,0,0.0,0.0,,1,False
mtgqa_000006,n229548,1,20511543,fullload,Yes,1.0,585.9485439723358,605.2228779299185,19.184984965249896,0,0.0,0,0,0.0,0.0,,1,False
mtgqa_000006,n229548,1,20511543,prefix25,Yes,1.0,585.3696590056643,604.2440750170499,18.797997967340052,0,0.0,0,0,0.0,0.0,,1,False
mtgqa_000006,n229548,1,20511543,prefix45,Yes,1.0,584.8759720101953,604.1242619976401,19.15682596154511,0,0.0,0,0,0.0,0.0,,1,False
mtgqa_000006,n229548,2,20511400,recompute,Yes,1.0,590.5798189342022,609.2831610003486,18.62825802527368,0,0.0,0,0,0.0,0.0,,1,False
mtgqa_000006,n229548,2,20511400,fullload,Yes,1.0,925.0920111080632,945.5939120380208,20.36905090790242,1333788672,586.152300122194,64,0,0.0,0.0,1.0,0,True
mtgqa_000006,n229548,2,20511400,prefix25,Yes,1.0,309.57205197773874,329.43106698803604,19.68550297897309,360710144,144.5382998790592,64,1,66.77408190444112,0.3110149409621954,0.25,0,True
mtgqa_000006,n229548,2,20511400,prefix45,Yes,1.0,498.7088070483878,518.6130370711908,19.724295008927584,629145600,291.4991135476157,64,1,92.22496161237359,0.3948768135160208,0.45,0,True
mtgqa_000006,n229548,3,20511405,recompute,Helicopter,1.0,599.6596949407831,655.4304799064994,55.68692402448505,0,0.0,0,0,0.0,0.0,,1,False
mtgqa_000006,n229548,3,20511405,fullload,Helicopter,1.0,847.3847639979795,903.8004190661013,56.305053061805665,1333788672,550.96281087026,64,0,0.0,0.0,1.0,0,True
mtgqa_000006,n229548,3,20511405,prefix25,Helicopter,1.0,304.1357200127095,362.1002450818196,57.78941104654223,360710144,168.2492719264701,64,1,53.71079104952514,0.2747771795839071,0.25,0,True
mtgqa_000006,n229548,3,20511405,prefix45,Helicopter,1.0,500.5886849248782,557.0774399675429,56.319060968235135,629145600,284.71737063955516,64,1,85.79394326079637,0.3644868265837431,0.45,0,True
mtgqa_000007,n229548,1,20511409,recompute,Helicopter,1.0,584.9185609258711,641.2267410196364,56.22120399493724,0,0.0,0,0,0.0,0.0,,1,False
mtgqa_000007,n229548,1,20511409,fullload,Helicopter,1.0,584.8616129951552,641.863547032699,56.91642500460148,0,0.0,0,0,0.0,0.0,,1,False
mtgqa_000007,n229548,1,20511409,prefix25,Helicopter,1.0,585.6363120255992,643.7248940346763,58.00055293366313,0,0.0,0,0,0.0,0.0,,1,False
mtgqa_000007,n229548,1,20511409,prefix45,Helicopter,1.0,585.4995179688558,643.235936993733,57.65062908176333,0,0.0,0,0,0.0,0.0,,1,False
mtgqa_000007,n229548,2,20511408,recompute,helicopter,1.0,620.2484790701419,676.0537730297074,55.721377953886986,0,0.0,0,0,0.0,0.0,,1,False
mtgqa_000007,n229548,2,20511408,fullload,helicopter,1.0,962.1936159674078,1021.3710330426693,59.06732100993395,1333788672,643.3751556323841,64,0,0.0,0.0,1.0,0,True
mtgqa_000007,n229548,2,20511408,prefix25,Helicopter,1.0,309.1921230079606,366.937835002318,57.57860094308853,360710144,164.39701709896326,64,1,54.25967660266906,0.265357899479568,0.25,0,True
mtgqa_000007,n229548,2,20511408,prefix45,Helicopter,1.0,492.1979570062831,550.0984420068562,57.7245888998732,629145600,284.49306811671704,64,1,91.72164334449917,0.38809876423329115,0.45,0,True
mtgqa_000007,n229548,3,20511425,recompute,No,1.0,617.0098240254447,636.215846054256,19.119968987070024,0,0.0,0,0,0.0,0.0,,1,False
